annotation_id,customer_message,support_response,semantic_cluster,human_intent,annotation_confidence,annotation_notes
1,Is it just me or did the delete key on my Bluetooth keyboard stop working in Mail on iOS11? Com’on @115858 you’re killing me with iOS11 bugs. https://t.co/QpvkrEvzIg,@136576 Hello. Thanks for bringing this to our attention. We'd like to team up with you and get this sorted. Click here to join us in DM and provide us with the device and iOS 11 version that you're using: https://t.co/GDrqU22YpT,0,keyboard_input,high,Delete key on Bluetooth keyboard stopped working while typing.
2,I am using an iPhone 8 Plus and iOS 11.1.2,"@139262 Got it, thanks. While automatic playback is expected is your vehicles firmware up to date? There might be additional settings there you can adjust. Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT",0,other_unclear,high,Only provides device and iOS version; no problem is stated.
3,"pls help,my ip7+ freeze all the time after update ios 11.1.2 & the camera is also got blurry,also couldnt open my photo gallery.what happen?","@143276 We're happy to help with these issues. What happens when you attempt to open the photo gallery currently? Also, let's see if we can resolve that camera issue with the steps outlined here: https://t.co/r1DRfaFLIU",0,performance_freezing,high,Phone repeatedly freezes; camera and gallery problems are secondary.
4,Updated to iOS 11.1.2 and now i have no sound 👍🏼 @115858 #sickupdatedudes,"@143869 We don't want you to be without any sound on your device. We can definitely look into this further with you. 
Let us know if this helps: https://t.co/4Kux8rhhGX",0,software_update,high,No sound started immediately after the iOS update.
5,"About 2 weeks, I have IOS 11.1.2","@141071 Thanks for that info. Let's try a few things in this article to see if it helps. Try steps 4 through 6:
https://t.co/UTP2qBi1Is",0,other_unclear,high,Only states the iOS version and duration; no clear support issue.
6,I got a crazy security bug issue with iOS 11.1,@118835 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,0,software_update,medium,"Security bug is associated with iOS 11.1, but the exact problem is unclear."
7,force touch for app multitask gone in iOS11 ?,"@121981 That feature isn’t a part of iOS 11. We always enjoy hearing feedback. Please submit yours here:
https://t.co/oWzjJxkvlC",0,software_update,high,Customer reports a feature being unavailable in iOS 11.
8,Hey iOS 11 sucks none of my apps can update anymore,"@127203 Let us know via DM what occurs when trying to update, then we can work together to get it resolved. https://t.co/GDrqU22YpT",0,apps_app_store,high,Customer says apps can no longer be updated.
9,ios 11,@134149 Let's continue in DM. You can use the following link to get in touch with us directly: https://t.co/GDrqU22YpT,0,other_unclear,high,Only says 'ios 11' without describing a problem.
10,": New iPhoneX. iOS 11.1.2 update. Phone app literally will not open. Cannot access call history, my voicemail or make a call. WTF","@142502 That's not the experience we want you to have with your new iPhone X and we'd like to help. To start, DM us with the country where you're located. We look forward to working with you to resolve this. https://t.co/GDrqU22YpT",0,apps_app_store,high,"Phone app will not open, preventing access to calling and voicemail."
11,So is everybody shit looking like this or just mine ?,@128694 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,1,other_unclear,high,Customer refers to an unspecified appearance or problem without enough context.
12,Location details sent in DM !,@124483 Thank you. We will reply to you there.,1,other_unclear,high,Only says location details were sent in DM; no issue is described.
13,"I promise that I did the workouts to finish the Thanksgiving day challenge. Yet, no badge. Does have any ideas?",@141105 We want to be sure you get the badge you earned. What country do you live in? DM us and let us know. https://t.co/GDrqU22YpT,1,other_unclear,high,Apple Watch challenge and badge issue does not fit the current support taxonomy.
