annotation_id,customer_message,support_response,semantic_cluster,human_intent,annotation_confidence,annotation_notes
1,Is it just me or did the delete key on my Bluetooth keyboard stop working in Mail on iOS11? Com’on @115858 you’re killing me with iOS11 bugs. https://t.co/QpvkrEvzIg,@136576 Hello. Thanks for bringing this to our attention. We'd like to team up with you and get this sorted. Click here to join us in DM and provide us with the device and iOS 11 version that you're using: https://t.co/GDrqU22YpT,0,,,
2,I am using an iPhone 8 Plus and iOS 11.1.2,"@139262 Got it, thanks. While automatic playback is expected is your vehicles firmware up to date? There might be additional settings there you can adjust. Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT",0,,,
3,"pls help,my ip7+ freeze all the time after update ios 11.1.2 & the camera is also got blurry,also couldnt open my photo gallery.what happen?","@143276 We're happy to help with these issues. What happens when you attempt to open the photo gallery currently? Also, let's see if we can resolve that camera issue with the steps outlined here: https://t.co/r1DRfaFLIU",0,,,
4,Updated to iOS 11.1.2 and now i have no sound 👍🏼 @115858 #sickupdatedudes,"@143869 We don't want you to be without any sound on your device. We can definitely look into this further with you. 
Let us know if this helps: https://t.co/4Kux8rhhGX",0,,,
5,"About 2 weeks, I have IOS 11.1.2","@141071 Thanks for that info. Let's try a few things in this article to see if it helps. Try steps 4 through 6:
https://t.co/UTP2qBi1Is",0,,,
6,I got a crazy security bug issue with iOS 11.1,@118835 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,0,,,
7,force touch for app multitask gone in iOS11 ?,"@121981 That feature isn’t a part of iOS 11. We always enjoy hearing feedback. Please submit yours here:
https://t.co/oWzjJxkvlC",0,,,
8,Hey iOS 11 sucks none of my apps can update anymore,"@127203 Let us know via DM what occurs when trying to update, then we can work together to get it resolved. https://t.co/GDrqU22YpT",0,,,
9,ios 11,@134149 Let's continue in DM. You can use the following link to get in touch with us directly: https://t.co/GDrqU22YpT,0,,,
10,": New iPhoneX. iOS 11.1.2 update. Phone app literally will not open. Cannot access call history, my voicemail or make a call. WTF","@142502 That's not the experience we want you to have with your new iPhone X and we'd like to help. To start, DM us with the country where you're located. We look forward to working with you to resolve this. https://t.co/GDrqU22YpT",0,,,
11,So is everybody shit looking like this or just mine ?,@128694 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,1,,,
12,Location details sent in DM !,@124483 Thank you. We will reply to you there.,1,,,
13,"I promise that I did the workouts to finish the Thanksgiving day challenge. Yet, no badge. Does have any ideas?",@141105 We want to be sure you get the badge you earned. What country do you live in? DM us and let us know. https://t.co/GDrqU22YpT,1,,,
14,@AppleSupport  https://t.co/9KrD2oAz5L,@141848 Thanks for reaching out. We'd like some additional details to assist. Which iOS is this occurring on? Let us know and we'll take it from there.,1,,,
15,Wow! Also in landscape! This is better than I think!,"@118246 We'd love to look into this with you!  To begin, can you DM us what iOS version you're currently on? https://t.co/GDrqU22YpT",1,,,
16,"my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the???",@118099 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,1,,,
17,@AppleSupport  https://t.co/yvu10fymce,@123687 Thank you. Please check to see if you have an update available under Settings &gt; General &gt; Software Update.,1,,,
18,what is this?,"@136587 We can definitely offer some guidance. Since noticing this, have you had a chance to restart your iPad? This step may seem simple, but it can resolve minor issues with your device.",1,,,
19,Thank you,@125167 You're welcome!,1,,,
20,Thank you!,@144022 You are very welcome.,1,,,
21,11.0.2,@129985 We’re here to help. Let us know via DM if this happens after going to Settings &gt; Keyboards &gt; Predictive and turn it off. https://t.co/GDrqU22YpT,2,,,
22,11.1.1,"@141849 Thanks for that detail. Let's get you up to speed as a first step and see if the issues resolve themselves. We've released iOS 11.1.2 recently, so let's get you to back up and update first. Check out this link for assistance in this step: https://t.co/EGo8nZttAk",2,,,
23,11.1.2,@140197 Thanks for that. Would you mind joining us in DM please? We'd like to continue our conversation there. https://t.co/GDrqU22YpT,2,,,
24,"Yes it did, 11.0.3","@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",2,,,
25,11.1,@128332 Are you using a third-party keyboard in Settings &gt; General &gt; Keyboard &gt; Keyboards ? Let us know in DM. https://t.co/GDrqU22YpT,2,,,
26,11.1,"@129051 Great, thanks! Have you tried to restart your iPhone or check to ensure your apps are up-to-date? If not, try that for us.",2,,,
27,Hey this is what happened after 10.13.1 please advise.!!,@123175 We want your Mac to work as expected. Does this message come back up if you click the Restart button?,2,,,
28,it is updated to 11.1,@124862 Thank you. Please send us a DM letting us know when this first started happening and we'll take it from there. https://t.co/GDrqU22YpT,2,,,
29,I have 11.0.3,"@117650 The first step we want to take is to back it up, then update it to iOS 11.1 to rule that out: https://t.co/80YRnjDFDk",2,,,
