conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response,response_behavior,response_quality
100245,100245,100244,What is this ? since I upgraded with this $hi&*y macOS my instant click before is now lagging to almost a minute and that disrupts my writing e-mails (work and personal) wow! this is getting crazy everyday not enjoying Apple Macbook NOW!,"@137967 We'd like to help. Does this seem to persist when using multiple apps? Have you tried rebooting to see if that helps? Send us a DM, we'll be glad to work on this with you. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
100245,100243,100241,I have tried restarting my macbook but it keeps lagging. I will try rebooting and close all apps once again.,"@137967 Either way, let us know what happens via DM. We want to make sure this is fully resolved. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
100540,100540,100539,My iPhone been moving slow af the past couple weeks. I need answers,"@137986 We’d love to help with the performance of your iPhone. To start, please send us a DM confirming which iPhone and exact software version you’re using. You can tap Settings &gt; General &gt; About to locate the software version. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101228,101228,101227,"Dear god not again,","@138151 We want to make sure your words and texts are coming out as expected. What version of the iOS software do you currently have installed on your device? You can find this in Settings &gt; General &gt; About.  

Please send a DM with this information so we can better assist. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101231,101231,101230,Noticed a bug on my @115858 iPhone X/iOS 11.1.2 While I’m on the phone I can’t close apps.,"@138152 We can assist you. Thanks for bringing this to our attention. If you restart your device and test the issue again, does it persist?",troubleshooting,actionable
101234,101234,101232,"leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail & apple-id",@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,link_resource,actionable
101234,101233,101235,"Since a recent update i’m constantly getting these notifications about my old apple ID /e-mail adress, wich i’ve lost the pw years ago. I allready got a new account and e-mail, but it doesn’t appear anywhere, alltho i can still acces the app store etc..","@138153 We'd be happy to look into why that Apple ID is popping up now, and see what we need to do to get it to stop. To get started, can you tell us which iPhone and iOS version you're using? You can find the version by going to Settings &gt; General &gt; About &gt; Version.",troubleshooting,actionable
101234,101236,101237,"Yes ofcourse, iphone 6s version 11.1.2 (15B202)","@138153 Go ahead and DM us your country, and we'll continue working there. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101239,101239,101238,@115858 Just because you're releasing new phones doesn't mean you should stop making my current iPhone stop working. I have a contract and cannot just purchase a new phone every 12 months.,"@138154 If at all possible, we would love to help. Can you tell us in more detail about what you're experiencing with the current iPhone you have?",information_request,other
101241,101241,101240,anyone else’s phone changing “it” to I.T,@138155 We've received your DM and will respond to you there shortly.,dm_escalation,generic_escalation
101244,101244,101243,Spam emails ....,@138156 Thank you for reaching out to us and providing us with this information. Please report this phishing message using the info here: https://t.co/LNMCdqt6fD,dm_escalation,generic_escalation
101246,101246,101245,"updated to iOS 11.1.2, phone crashes repeatedly at 32% battery life. Briefly flashes ‘plug in graphic’, the will restart and crash again within seconds. When drained past 30%, suddenly works fine. Something buggy with the low battery emergency shutdown trigger.",@138157 We can help. Was this happening on the iPhone before the update?  Is there any activity that seems to trigger the issue otherwise?,troubleshooting,actionable
101249,101248,101247,"@115858 @116333 My Apple account’s Family Sharing has been broken for 10 weeks now, and support doesn’t seem any closer to fixing this. When asked for alternative solutions the answer is to have yet more patience. This is horrible :( https://t.co/1W9S7hFGwC","@138158 We'd like to see how we can help with this. Send us a DM with further information such as a case number or serial number, if you have one. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
101251,101251,101250,why is my MacBook doing this,@138159 We can work together on this display issue. Were there any recent changes to the Mac or damage (liquid contact or drops). Let us know in DM to get started. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
101253,101253,101252,"please, since the last update 10.13.1, there is a huge delay in the refresh of the files in the Finder. Same problem was before but it was fixed in the previous version. Now, the problem appears again","@138160 We want to ensure we're able to get your Mac running as expected. Please meet us in DM with more information on the exact issue you're experiencing. 

You can meet us in DM, here: https://t.co/GDrqU22YpT",dm_escalation,generic_escalation
101256,101256,101254,please helpmeni can't sign in icloud account,@138161 Having access to your account is important and we're happy to help determine the best options to gain access to your account. Are you receiving an error message when you attempt to log in? DM us and we'll work with you there. https://t.co/GDrqU22YpT,information_request,guided_escalation
101256,101255,101257,"I forget account and pasword icloud,",@138161 This link can help with a forgotten password: https://t.co/fJnZYmbI9N We'll need to refer you here for further help:  https://t.co/UJm15vmMM2 https://t.co/GDrqU22YpT,link_resource,actionable
101259,101259,101258,Only to break File Sharing! Sigh :-( /cc @115858 https://t.co/QGw2mX4igg,@138162 Having issues with File Sharing since updating to the latest macOS? We'd like to hear more about this to see how we can help. Send us a message in DM at the link below with more details to get started. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
101262,101262,101260,Why does the iPhone have “I.T” as the autocorrect for “it”??!,@138163 Thanks for reaching out. We'd be happy to help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.,troubleshooting,actionable
101262,101261,101263,11.0.3,"@138163 Let's backup your device, then update to the latest version of iOS, as shown here: https://t.co/80YRnjDFDk Then test it out and let us know what you see. Shoot us a DM if the issue persists by tapping here: https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101266,101266,101264,Hey my iPhone 7 suddenly stopped working with Apple CarPlay in my brand new car yesterday. Won't connect via bluetooth or USB either. I've done 2 hard resets & tried other troubleshooting to no avail. Can somebody help me or am I switching to Android soon?,@138164 We will do our best to get your CarPlay working again.  Were there any changes on the iPhone recently?  Which iOS version are you using?  You can check under Settings &gt; General &gt; About.,troubleshooting,actionable
101266,101267,101268,And before that I hadn’t done any updates between when it worked normally and the time it froze & crashed.,@138164 Thanks.  Are you able to successfully connect to any other Bluetooth devices?,information_request,other
101266,101269,101270,"I’m currently staying with family and don’t have access to other Bluetooth devices to connect to, unfortunately.","@138164 Understood, thanks. Are you showing any updates available for the firmware in your car? Also, are you showing any connection errors on your iPhone or in the car?",troubleshooting,actionable
101266,101271,101272,"No updates on the car, and my partner’s phone is pairing with Android Auto just fine. When I try plug my phone into the car, the car doesn’t respond at all. Even bought a new cord to make sure it wasn’t a connection issue.","@138164 You've completed some great steps, thanks. DM the make and model of your car and we'll continue there. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
101274,101274,101273,Alguien sabe pxq le pasa esto a mi nuevo iPhone X ese cuadro q?,@138165 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,link_resource,actionable
101278,101278,101277,Is there any way to check the overall battery health of my iPhone 6?,"@138167 We understand how important battery life is. 

Let's take a look into your support options in DM. Send us a message with the version of iOS you're currently on. The latest is iOS 11.1.2. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101280,101280,101279,yo what’s your phone number,"@138168 Thanks for reaching out. To reach our telephone support, you can use this link:  https://t.co/IBIY3vMgPj",link_resource,actionable
101282,101282,101281,Hey could you make it more impossible and frustrating to get a Genius Bar Reservation for an elderly person? Ridiculous.,@138169 We're here for you. Use the link below to send us a DM with your country of residence and we'll look into support options with you. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
101285,101285,101284,Anybody else getting really annoyed with trying to type “it” and constantly having it autocorrect to I.T ???? What’s good with that @115858 ???,"@138170 We'd like to help. Please let us know in DM the device you are using, along with the software version it is running to start: https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
101287,101287,101286,My iPhone X makes a clicking sound from the screen if you press on the bottom left corner of the screen,"@138171 Hey, we can look into some options for your iPhone X. We know it's not ideal to hear unexpected sounds comings from your device. DM us the country you're located in and we'll go from there. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101290,101290,101288,MY PHONE IS UNLOCKED SO WHY CAN'T I VIEW MY NOTIFICATIONS iOS11,"@138172 We'll work together to get you able to view those notifications in no time. What happens when you try to view that notification? Also, what iOS version is running and which iPhone model is this happening on?",troubleshooting,actionable
101290,101289,101291,Nothing happens. iOS11.1.2. iPhone 7.,"@138172 Thanks for letting us know. Let's have you try to restart the iPhone and then see if that issue persists. This can help: https://t.co/OWRDHWSt4h Let us know how that goes afterward. Also, check out this article about notifications: https://t.co/2txgOv5s2M https://t.co/GDrqU22YpT",troubleshooting,actionable
101290,101292,101293,happened multiple times over 3-4 weeks. even after restarting. can't seem to replicate the scenario though.,"@138172 Thanks for that info. To confirm, the issue is not happening now after restarting the iPhone?",troubleshooting,actionable
101290,101294,101295,As I said I can't recreate the scenario but it happens once every week or so,"@138172 If that issue happens again, go ahead and reach out to us in DM and let us know more about it then. We'll be happy to help further then. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
101298,101298,101297,is it possible to make an appointment for someone else? My sister is locked out of her account and her iPhone is dead so she can’t receive the code.,"@138174 We’d be happy to assist.  Just so we are on the same page, she is trying to receive her two-factor authentication to unlock her Apple ID, and you wanted to make an Apple Retail Store appointment?  Please respond in DM. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
101300,101300,101299,just a heads up here's a glitch. Songs get stuck on the lock screen iOS 11.1.2 iPhone X,@138175 Thank you for reaching out to us. How often has this happened? Does it occur while using cellular data as well as a Wi-Fi connection? Let us know in DM. https://t.co/GDrqU22YpT,information_request,guided_escalation
101302,101302,101301,common guys. I rely on your products for video production for broadcast and your update to fix your security issue is completely crashing the OS... as a life long user of your products this is unacceptable,@138176 We can definitely understand and want you to be able to rely on our products and software. Which device are you using and what exactly happens?,information_request,other
101304,101304,101303,"how do I go about raising a high level complaint please? 4 senior techs couldn’t help fix my problem, now my e mails are being unanswered, want a refund for a product that’s not fit for purpose, have tried everything to fix, thanks.",@138177 We'd be happy to look into this with you. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
102355,102355,102354,"MacBook won’t turn on...gives me this screen, I need my serial number to call Apple support, won’t turn on....HELP",@138468 No worries. Help has arrived. We have a few questions that will help us get to the bottom of this. How were you using your Mac just before this occurred? Have you added new external hardware or accessories? Send us a DM. https://t.co/GDrqU22YpT,information_request,guided_escalation
102358,102358,102356,"Hi since I’ve updated my iphone 6, sometimes it freezes while writing a message here, on Line or elsewhere. Never happened before. What the fuck? More than an update, its a downdate . Get your shit together please, for Jobs’s sake!! Sincerely pissed, A user",@138469 We'd like to look into your performance concerns with you. Reach out via DM using the link below and let us know what version of iOS 11 you have installed. You can check by tapping Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
102363,102363,102362,"Dear , the feature that is suppose to keep Live Photos off doesn’t work. A fix would be nice. Thanks!",@138471 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,dm_escalation,generic_escalation
103143,103143,103142,"CAN I PLEASE TALK TO A REAL PERSON, and not an automated voice? I've been on hold for 45 mins, got hung up on. I need your HELP LIKE NOW!!","@138688 We want you get the help you're needing. Perhaps we can offer some solutions here. Shoot us a DM, letting us know what's going on and from there we'll provide any assistance we can. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
103146,103146,103144,how do I stop this auto brightness I like my screen dark and it just randomly gets bright,"@138689 Thanks for reaching out. We know how important it is to control your display brightness, and we're happy to help. Can you tell us which device model and version of software you're using so we can provide the steps for how to adjust this?",information_request,other
103146,103145,103147,I have an iPhone 7 running iOS 11.1.2,@138689 This article provides the steps for how to adjust the brightness on your iPhone 7: https://t.co/QGzyuyr5Ra Let us know if this helps.,link_resource,actionable
103146,103148,103149,Omg yesss thank you !!!!,@138689 You're very welcome. Please let us know if you have any additional questions. We're happy to help. Have a great evening!,other,other
103151,103151,103150,"@115858 my iPhone gets slower and slower with every update and for this I thank you, keep up the good work",@138690 We know how important updates are and we want to help you use the device as you expect. DM us what device and iOS version you're using. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
103154,103154,103152,I need your help!!,@138691 You've come to the right place! What's going on?,information_request,other
103157,103157,103155,I cannot update my phone to iOS 11 I keep getting an error occurred while trying to install the download I've tried restarting force restart cleared at least 5gb of space what now,"@138692 Thank you for reaching out. Let's get you updated. To better assist, are you attempting to update directly on the iPhone via Settings or via a computer with iTunes?",troubleshooting,actionable
103157,103156,103158,Via my iPhone because I no longer have a computer,"@138692 No worries. If that is the case, check out the steps here: https://t.co/Ui1yTnOCUz but keep us posted if you run into any issues.  We're here for you.",troubleshooting,actionable
103157,103159,103160,"I deleted the download and re-downloaded the update and again, it says an error occured while installing",@138692 Let's meet up in DM and work together there. https://t.co/GDrqU22YpT,dm_escalation,generic_escalation
103162,103162,103161,", did HighSierra kill my old trackpad? After the recent update, no more trackpad. Bounces between connected and mostly not.",@138693 Thanks for reaching out to us. We are always happy to help. Send us a DM. We'd like to look into this with you.,dm_escalation,guided_escalation
103164,103164,103163,Hey why can’t I scroll to accept this developer agreement in Safari on iOS? Can’t get the accept button to show up.,@138694 Thanks for reaching out.  We know how important it is to be able to accept Developer agreements and  we'll do everything we can to assist.  Does this issue also happen from a computer? https://t.co/GDrqU22YpT,information_request,actionable
