tweet_id,customer_text,support_reply,weak_intent,gold_intent,gold_escalate,gold_escalation_reason,human_reply_score_1_to_5,annotation_notes,reviewed,split
1717453,@115858 what’s up man? Got me looking stupid af in my tweets with this letter glitch.,@520052 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other,,,,,,False,dev
2294470,@115858 Édit:Wifi et Bluetooth ne se désactive pas 🤪,@666263 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,service_and_connectivity,,,,,,False,test
2523434,Hey @116602 and @AppleSupport  the Netflix app freezes during tv shows or movies on WiFi or on my network on the IPhone X. Is this problem being fixed?#PleaseHelp,@442303 We're here to help. Please meet us in DM and we'll take a further look at this together. https://t.co/GDrqU22YpT,service_and_connectivity,,,,,,False,test
1981673,@115858 WTF IS GOOD WITH THIS VOODOO HIEROGLYPHIC AUTOCORRECT???? I️ JUST WANNA TYPE THE LETTER ‘i’ https://t.co/b5tG9T0Rtl,@586585 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,other,,,,,,False,test
1395635,@AppleSupport I turned my MacBook pro on. It loads up to the password part. I enter my password and the screen keeps going black! What do I do?,"@444544 Let’s force your Mac to shut down by holding the power button, then try again. Be sure to disconnect all external devices.",account_and_security,,,,,,False,test
2297335,"Super cool that my brand new less than a month old iPhone 8+ is total shit. No WiFi, no Bluetooth, @AppleSupport tells me to reset",@666928 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,service_and_connectivity,,,,,,False,dev
2356487,"@AppleSupport Hello! Automatic downloading of songs when I add them isn’t working in Apple Music. Moreover, when I add songs on my iPad they don’t synchronize on my iPhone (iCloud music library is on).",@137157 Thanks for reaching out. DM which devices you are using for Apple Music to get started. https://t.co/GDrqU22YpT,service_and_connectivity,,,,,,False,test
31426,@AppleSupport iOS11 I’ve tried resetting the keyboard it didn’t work.,@122931 Join us in DM and send us a screenshot of Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,software_and_update,,,,,,False,test
1671946,Fix this I️ bullshit @115858,@508884 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other,,,,,,False,test
1792686,@AppleSupport how do i get in contact with someone very high up in apple for support? senior support is useless,"@305273 We understand wanting a faster resolution rate. Please DM your iOS, iPhone model, and country. We'll begin supporting from there. https://t.co/GDrqU22YpT",software_and_update,,,,,,False,test
2408603,@AppleSupport my phone gets worse by the fucking day Bc y'all are childish &amp; know I'm a slave to capitalism. FIX. IT. NOW.,"@692594 Reach out to us via DM and fill us in on what is happening with your iPhone, then we can work together to get you back to expected performance. https://t.co/GDrqU22YpT",software_and_update,,,,,,False,dev
