conversation_id,turn_number,tweet_id,author_id,role,created_at,text_raw,parent_tweet_id,response_tweet_ids,direct_reply_count,is_branch_point,text_clean,language,quality_flag,thread_id,thread_position
100245,1,100245,137967,customer,2017-11-23 13:33:54+00:00,What is this @AppleSupport? since I upgraded with this $hi&amp;*y #macOS my instant click before is now lagging to almost a minute and that disrupts my writing e-mails (work and personal) wow! this is getting crazy everyday not enjoying Apple Macbook NOW!,,100244,1,False,What is this ? since I upgraded with this $hi&*y macOS my instant click before is now lagging to almost a minute and that disrupts my writing e-mails (work and personal) wow! this is getting crazy everyday not enjoying Apple Macbook NOW!,en,KEEP,100245_thread_1,1.0
100245,2,100244,AppleSupport,support,2017-11-23 16:05:06+00:00,"@137967 We'd like to help. Does this seem to persist when using multiple apps? Have you tried rebooting to see if that helps? Send us a DM, we'll be glad to work on this with you. https://t.co/GDrqU22YpT",100245,100243,1,False,,,,100245_thread_1,2.0
100245,3,100243,137967,customer,2017-11-23 16:40:43+00:00,@AppleSupport I have tried restarting my macbook but it keeps lagging. I will try rebooting and close all apps once again.,100244,100241,1,False,I have tried restarting my macbook but it keeps lagging. I will try rebooting and close all apps once again.,en,KEEP,100245_thread_1,3.0
100245,4,100241,AppleSupport,support,2017-11-23 17:26:31+00:00,"@137967 Either way, let us know what happens via DM. We want to make sure this is fully resolved. https://t.co/GDrqU22YpT",100243,100242,1,False,,,,100245_thread_1,4.0
100245,5,100242,137967,customer,2017-11-23 17:32:21+00:00,"@AppleSupport for now I just restarted, it doesn't lag yet. I will let you know when it happen again.",100241,,0,False,"for now I just restarted, it doesn't lag yet. I will let you know when it happen again.",en,KEEP,100245_thread_1,5.0
100540,1,100540,137986,customer,2017-11-23 15:51:04+00:00,My iPhone been moving slow af the past couple weeks. I need answers @AppleSupport,,100539,1,False,My iPhone been moving slow af the past couple weeks. I need answers,en,KEEP,100540_thread_2,1.0
100540,2,100539,AppleSupport,support,2017-11-23 16:58:38+00:00,"@137986 We’d love to help with the performance of your iPhone. To start, please send us a DM confirming which iPhone and exact software version you’re using. You can tap Settings &gt; General &gt; About to locate the software version. https://t.co/GDrqU22YpT",100540,,0,False,,,,100540_thread_2,2.0
101228,1,101228,138151,customer,2017-11-30 17:14:45+00:00,"Dear god not again,@AppleSupport https://t.co/5Zf0Mnd6SI",,"101227,101229",1,False,"Dear god not again,",unknown,KEEP,101228_thread_3,1.0
101228,2,101227,AppleSupport,support,2017-11-30 17:40:01+00:00,"@138151 We want to make sure your words and texts are coming out as expected. What version of the iOS software do you currently have installed on your device? You can find this in Settings &gt; General &gt; About.  

Please send a DM with this information so we can better assist. https://t.co/GDrqU22YpT",101228,,0,False,,,,101228_thread_3,2.0
101231,1,101231,138152,customer,2017-11-30 17:13:22+00:00,Noticed a bug on my @115858 iPhone X/iOS 11.1.2 While I’m on the phone I can’t close apps.,,101230,1,False,,,,101231_thread_4,1.0
101231,2,101230,AppleSupport,support,2017-11-30 17:40:00+00:00,"@138152 We can assist you. Thanks for bringing this to our attention. If you restart your device and test the issue again, does it persist?",101231,,0,False,,,,101231_thread_4,2.0
101234,1,101234,138153,customer,2017-11-30 17:14:49+00:00,"@AppleSupport leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail &amp; apple-id https://t.co/5GWgrlFu74",,101232,1,False,"leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail & apple-id",nl,KEEP,101234_thread_5,1.0
101234,2,101232,AppleSupport,support,2017-11-30 17:39:29+00:00,@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,101234,101233,1,False,,,,101234_thread_5,2.0
101234,3,101233,138153,customer,2017-11-30 18:02:30+00:00,"@AppleSupport Since a recent update i’m constantly getting these notifications about my old apple ID /e-mail adress, wich i’ve lost the pw years ago. I allready got a new account and e-mail, but it doesn’t appear anywhere, alltho i can still acces the app store etc..",101232,101235,1,False,"Since a recent update i’m constantly getting these notifications about my old apple ID /e-mail adress, wich i’ve lost the pw years ago. I allready got a new account and e-mail, but it doesn’t appear anywhere, alltho i can still acces the app store etc..",en,KEEP,101234_thread_5,3.0
101234,4,101235,AppleSupport,support,2017-11-30 18:24:31+00:00,"@138153 We'd be happy to look into why that Apple ID is popping up now, and see what we need to do to get it to stop. To get started, can you tell us which iPhone and iOS version you're using? You can find the version by going to Settings &gt; General &gt; About &gt; Version.",101233,101236,1,False,,,,101234_thread_5,4.0
101234,5,101236,138153,customer,2017-11-30 18:28:55+00:00,"@AppleSupport Yes ofcourse, iphone 6s version 11.1.2 (15B202)",101235,101237,1,False,"Yes ofcourse, iphone 6s version 11.1.2 (15B202)",en,KEEP,101234_thread_5,5.0
101234,6,101237,AppleSupport,support,2017-11-30 18:43:32+00:00,"@138153 Go ahead and DM us your country, and we'll continue working there. https://t.co/GDrqU22YpT",101236,,0,False,,,,101234_thread_5,6.0
101239,1,101239,138154,customer,2017-11-30 17:02:21+00:00,@115858 Just because you're releasing new phones doesn't mean you should stop making my current iPhone stop working. I have a contract and cannot just purchase a new phone every 12 months.,,101238,1,False,,,,101239_thread_6,1.0
101239,2,101238,AppleSupport,support,2017-11-30 17:39:25+00:00,"@138154 If at all possible, we would love to help. Can you tell us in more detail about what you're experiencing with the current iPhone you have?",101239,,0,False,,,,101239_thread_6,2.0
101241,1,101241,138155,customer,2017-11-30 17:13:32+00:00,anyone else’s phone changing “it” to I.T 😑😒 @AppleSupport,,"101240,101242",1,False,anyone else’s phone changing “it” to I.T,en,KEEP,101241_thread_7,1.0
