annotation_id,text,intent,annotation_confidence,annotation_notes,semantic_cluster
1,Is it just me or did the delete key on my Bluetooth keyboard stop working in Mail on iOS11? Com’on @115858 you’re killing me with iOS11 bugs. https://t.co/QpvkrEvzIg,keyboard_input,high,Delete key on Bluetooth keyboard stopped working while typing.,0
2,I am using an iPhone 8 Plus and iOS 11.1.2,other_unclear,high,Only provides device and iOS version; no problem is stated.,0
3,"pls help,my ip7+ freeze all the time after update ios 11.1.2 & the camera is also got blurry,also couldnt open my photo gallery.what happen?",performance_freezing,high,Phone repeatedly freezes; camera and gallery problems are secondary.,0
4,Updated to iOS 11.1.2 and now i have no sound 👍🏼 @115858 #sickupdatedudes,software_update,high,No sound started immediately after the iOS update.,0
5,"About 2 weeks, I have IOS 11.1.2",other_unclear,high,Only states the iOS version and duration; no clear support issue.,0
6,I got a crazy security bug issue with iOS 11.1,software_update,medium,"Security bug is associated with iOS 11.1, but the exact problem is unclear.",0
7,force touch for app multitask gone in iOS11 ?,software_update,high,Customer reports a feature being unavailable in iOS 11.,0
8,Hey iOS 11 sucks none of my apps can update anymore,apps_app_store,high,Customer says apps can no longer be updated.,0
9,ios 11,other_unclear,high,Only says 'ios 11' without describing a problem.,0
10,": New iPhoneX. iOS 11.1.2 update. Phone app literally will not open. Cannot access call history, my voicemail or make a call. WTF",apps_app_store,high,"Phone app will not open, preventing access to calling and voicemail.",0
11,So is everybody shit looking like this or just mine ?,other_unclear,high,Customer refers to an unspecified appearance or problem without enough context.,1
12,Location details sent in DM !,other_unclear,high,Only says location details were sent in DM; no issue is described.,1
13,"I promise that I did the workouts to finish the Thanksgiving day challenge. Yet, no badge. Does have any ideas?",other_unclear,high,Apple Watch challenge and badge issue does not fit the current support taxonomy.,1
14,@AppleSupport  https://t.co/9KrD2oAz5L,other_unclear,high,Only tags AppleSupport and provides a link; no problem is described.,1
15,Wow! Also in landscape! This is better than I think!,other_unclear,high,Positive comment about landscape mode with no specific support problem.,1
16,"my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the???",other_unclear,high,Apple Watch workout-time discrepancy does not clearly fit the current taxonomy.,1
17,@AppleSupport  https://t.co/yvu10fymce,other_unclear,high,Customer message contains only a link and AppleSupport mention; no issue is described.,1
18,what is this?,other_unclear,high,Question is too vague to identify a specific support intent.,1
19,Thank you,other_unclear,high,Thank-you message with no support intent.,1
20,Thank you!,other_unclear,high,Thank-you message with no support intent.,1
21,11.0.2,other_unclear,high,Only provides iOS version 11.0.2; no problem is described.,2
22,11.1.1,other_unclear,high,Only provides iOS version 11.1.1; no specific issue is stated.,2
23,11.1.2,other_unclear,high,Only provides iOS version 11.1.2.,2
24,"Yes it did, 11.0.3",other_unclear,medium,Reply refers to missing context; the version alone does not identify the intent.,2
25,11.1,other_unclear,high,Only provides iOS version 11.1; no problem is described.,2
26,11.1,other_unclear,high,Only provides iOS version 11.1; no problem is described.,2
27,Hey this is what happened after 10.13.1 please advise.!!,software_update,medium,"Customer explicitly connects the problem to macOS 10.13.1, but the actual problem is not stated.",2
28,it is updated to 11.1,other_unclear,high,Only says the device is updated to iOS 11.1; no problem is described.,2
29,I have 11.0.3,other_unclear,high,Only provides iOS version 11.0.3; no problem is described.,2
30,It started in may. 11.1.2,other_unclear,medium,"Provides when something started and the iOS version, but the actual issue is missing.",2
31,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,keyboard_input,high,"Talk-to-text produces incorrect typed text, making this a text-input problem.",3
32,Anybody else experiencing the bug where the letter I turning into a weird set of glyphs? Igate,keyboard_input,high,The letter 'I' is converted into incorrect glyphs while typing.,3
33,Man I’m having the same problem. Thought EYE was alone. Was just about to accept life without ever using the word “I” anymore.,keyboard_input,high,Customer reports the same letter 'I' typing problem.,3
34,Okay I thought it was just my phone fix this shit with the letter EYE,keyboard_input,high,Customer cannot type the letter 'I' correctly.,3
35,hey @115858 get ur shit together so i can type “i” without this stupid problem https://t.co/43iHbkJK6K,keyboard_input,high,Typing the letter 'i' causes incorrect autocorrect behavior.,3
36,Why does my iPhone randomly capitalise letters? iOS,keyboard_input,high,iPhone randomly capitalizes letters while the customer is typing.,3
37,For those that have been wondering. why are y’all punishing us for using pronouns!?,keyboard_input,medium,"Message refers to a typing/pronoun issue, but the exact technical problem is somewhat implicit.",3
38,whenever I type the letter “i” it auto corrects to a “a ?” What is going on!????,keyboard_input,high,The letter 'i' is automatically changed while typing across multiple apps.,3
39,"The only keyboard I have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.",keyboard_input,high,Autocorrect inserts a period while the customer is typing.,3
40,"i.t really sucks that every time i go to type the word i.t, i.t autocorrects so there’s a stupid ass period in the middle of i.t. @115858 what is going on",keyboard_input,high,"Autocorrect changes text while typing, specifically inserting a period into the word 'i.t'.",3
41,Thanks! But it used to be so nice when I could limit the number of episodes downloaded but still have some pre-downloaded for flights n things. Is the setting coming back?,apps_app_store,high,Customer asks about an app-related setting for controlling downloaded episodes.,4
42,thanks. I read the document & as it is a 3-series watch I’ve checked the settings as instructed - they were set correctly Do I need to go through the recalibration process as per a 1-series watch? Why doesn’t Health app just point to same XML field as Activity app?,other_unclear,high,Apple Watch and Health XML-field issue does not clearly fit the current taxonomy.,4
43,I have not installed any new appliaction. Anyway automatic application updates are enabled so I cannot determine which of the ones that were installed today might be coincident with the exact time frame when the issue appeared.,other_unclear,high,"Customer provides context about automatic app updates, but the actual support problem is not clearly stated.",4
44,I need your help! I want to play animal crossing but the app immediately crashes when I open it,apps_app_store,high,Animal Crossing crashes immediately when the customer opens the app.,4
45,"It’s become too slow ,apps not working properly",performance_freezing,high,Main complaint is that the device has become slow; app problems are secondary.,4
46,Does anyone EVER get Apple’s ‘reading list’ to work offline in Safari? What a load of old . Any alternatives that work?,apps_app_store,high,Customer is asking about Safari Reading List functionality while offline.,4
47,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,other_unclear,high,Time Machine and system storage usage does not clearly fit the current support taxonomy.,4
48,My husband hasn’t updated his MacBook since like 2011... do you think I could update it and be safe?,apps_app_store,high,Customer cannot complete an upload through a social-media app.,4
49,When i go to upload to social media with a slo-mo or screen shotted picture i am getting a loading circle in the middle of the screen and it never finishes loading. Doesnt allow upload to complete,software_update,high,Customer explicitly connects the problem to a software update.,4
